Connecting to host 10.0.0.6, port 5201
[  7] local 10.0.0.1 port 57460 connected to 10.0.0.6 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   3.20-3.30   sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[  8]   3.30-3.40   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   3.40-3.50   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   3.50-3.60   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]   3.60-3.70   sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]   3.70-3.80   sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  8]   3.80-3.90   sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  8]   3.90-4.00   sec  89.1 KBytes  7.31 Mbits/sec    0   11.3 KBytes       
[  8]   4.00-4.10   sec  0.00 Bytes  0.00 bits/sec    0   12.7 KBytes       
[  8]   4.10-4.20   sec  0.00 Bytes  0.00 bits/sec    0   12.7 KBytes       
[  8]   4.20-4.30   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  8]   4.30-4.40   sec  0.00 Bytes  0.00 bits/sec    2   9.90 KBytes       
[  8]   4.40-4.50   sec  0.00 Bytes  0.00 bits/sec    1   8.48 KBytes       
[  8]   4.50-4.60   sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[  8]   4.60-4.70   sec  82.0 KBytes  6.71 Mbits/sec    0   7.07 KBytes       
[  8]   4.70-4.80   sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[  8]   4.80-4.90   sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[  8]   4.90-5.00   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   5.00-5.10   sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  8]   5.10-5.20   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   5.20-5.30   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]   5.30-5.40   sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
